Repo,WindowStart,WindowEnd,HistLen,PredLen
angular/angular,2020-03,2025-02,48,12
angular/angular,2020-09,2025-08,48,12
ansible/ansible,2012-03,2017-02,48,12
ansible/ansible,2012-09,2017-08,48,12
ansible/ansible,2013-03,2018-02,48,12
ansible/ansible,2013-09,2018-08,48,12
ansible/ansible,2014-03,2019-02,48,12
ansible/ansible,2014-09,2019-08,48,12
ansible/ansible,2015-03,2020-02,48,12
ansible/ansible,2015-09,2020-08,48,12
ansible/ansible,2016-03,2021-02,48,12
ansible/ansible,2016-09,2021-08,48,12
ansible/ansible,2017-03,2022-02,48,12
ansible/ansible,2017-09,2022-08,48,12
ansible/ansible,2018-03,2023-02,48,12
ansible/ansible,2018-09,2023-08,48,12
ansible/ansible,2019-03,2024-02,48,12
ansible/ansible,2019-09,2024-08,48,12
ansible/ansible,2020-03,2025-02,48,12
ansible/ansible,2020-09,2025-08,48,12
ant-design/ant-design,2015-04,2020-03,48,12
ant-design/ant-design,2015-10,2020-09,48,12
ant-design/ant-design,2016-04,2021-03,48,12
ant-design/ant-design,2016-10,2021-09,48,12
ant-design/ant-design,2017-04,2022-03,48,12
ant-design/ant-design,2017-10,2022-09,48,12
ant-design/ant-design,2018-04,2023-03,48,12
ant-design/ant-design,2018-10,2023-09,48,12
ant-design/ant-design,2019-04,2024-03,48,12
ant-design/ant-design,2019-10,2024-09,48,12
ant-design/ant-design,2020-04,2025-03,48,12
ant-design/ant-design,2020-10,2025-09,48,12
apache/airflow,2015-04,2020-03,48,12
apache/airflow,2015-10,2020-09,48,12
apache/airflow,2016-04,2021-03,48,12
apache/airflow,2016-10,2021-09,48,12
apache/airflow,2017-04,2022-03,48,12
apache/airflow,2017-10,2022-09,48,12
apache/airflow,2018-04,2023-03,48,12
apache/airflow,2018-10,2023-09,48,12
apache/airflow,2019-04,2024-03,48,12
apache/airflow,2019-10,2024-09,48,12
apache/airflow,2020-04,2025-03,48,12
apache/airflow,2020-10,2025-09,48,12
apache/arrow,2016-02,2021-01,48,12
apache/arrow,2016-08,2021-07,48,12
apache/arrow,2017-02,2022-01,48,12
apache/arrow,2017-08,2022-07,48,12
apache/arrow,2018-02,2023-01,48,12
apache/arrow,2018-08,2023-07,48,12
apache/arrow,2019-02,2024-01,48,12
apache/arrow,2019-08,2024-07,48,12
apache/arrow,2020-02,2025-01,48,12
apache/arrow,2020-08,2025-07,48,12
apache/beam,2016-02,2021-01,48,12
apache/beam,2016-08,2021-07,48,12
apache/beam,2017-02,2022-01,48,12
apache/beam,2017-08,2022-07,48,12
apache/beam,2018-02,2023-01,48,12
apache/beam,2018-08,2023-07,48,12
apache/beam,2019-02,2024-01,48,12
apache/beam,2019-08,2024-07,48,12
apache/beam,2020-02,2025-01,48,12
apache/beam,2020-08,2025-07,48,12
apache/cloudstack,2013-04,2018-03,48,12
apache/cloudstack,2013-10,2018-09,48,12
apache/cloudstack,2014-04,2019-03,48,12
apache/cloudstack,2014-10,2019-09,48,12
apache/cloudstack,2015-04,2020-03,48,12
apache/cloudstack,2015-10,2020-09,48,12
apache/cloudstack,2016-04,2021-03,48,12
apache/cloudstack,2016-10,2021-09,48,12
apache/cloudstack,2017-04,2022-03,48,12
apache/cloudstack,2017-10,2022-09,48,12
apache/cloudstack,2018-04,2023-03,48,12
apache/cloudstack,2018-10,2023-09,48,12
apache/cloudstack,2019-04,2024-03,48,12
apache/cloudstack,2019-10,2024-09,48,12
apache/cloudstack,2020-04,2025-03,48,12
apache/cloudstack,2020-10,2025-09,48,12
apache/doris,2017-08,2022-07,48,12
apache/doris,2018-02,2023-01,48,12
apache/doris,2018-08,2023-07,48,12
apache/doris,2019-02,2024-01,48,12
apache/doris,2019-08,2024-07,48,12
apache/doris,2020-02,2025-01,48,12
apache/doris,2020-08,2025-07,48,12
apache/druid,2012-10,2017-09,48,12
apache/druid,2013-04,2018-03,48,12
apache/druid,2013-10,2018-09,48,12
apache/druid,2014-04,2019-03,48,12
apache/druid,2014-10,2019-09,48,12
apache/druid,2015-04,2020-03,48,12
apache/druid,2015-10,2020-09,48,12
apache/druid,2016-04,2021-03,48,12
apache/druid,2016-10,2021-09,48,12
apache/druid,2017-04,2022-03,48,12
apache/druid,2017-10,2022-09,48,12
apache/druid,2018-04,2023-03,48,12
apache/druid,2018-10,2023-09,48,12
apache/druid,2019-04,2024-03,48,12
apache/druid,2019-10,2024-09,48,12
apache/druid,2020-04,2025-03,48,12
apache/druid,2020-10,2025-09,48,12
apache/flink,2014-06,2019-05,48,12
apache/flink,2014-12,2019-11,48,12
apache/flink,2015-06,2020-05,48,12
apache/flink,2015-12,2020-11,48,12
apache/flink,2016-06,2021-05,48,12
apache/flink,2016-12,2021-11,48,12
apache/flink,2017-06,2022-05,48,12
apache/flink,2017-12,2022-11,48,12
apache/flink,2018-06,2023-05,48,12
apache/flink,2018-12,2023-11,48,12
apache/flink,2019-06,2024-05,48,12
apache/flink,2019-12,2024-11,48,12
apache/flink,2020-06,2025-05,48,12
apache/flink,2020-12,2025-11,48,12
apache/hadoop,2014-08,2019-07,48,12
apache/hadoop,2015-02,2020-01,48,12
apache/hadoop,2015-08,2020-07,48,12
apache/hadoop,2016-02,2021-01,48,12
apache/hadoop,2016-08,2021-07,48,12
apache/hadoop,2017-02,2022-01,48,12
apache/hadoop,2017-08,2022-07,48,12
apache/hadoop,2018-02,2023-01,48,12
apache/hadoop,2018-08,2023-07,48,12
apache/hadoop,2019-02,2024-01,48,12
apache/hadoop,2019-08,2024-07,48,12
apache/hadoop,2020-02,2025-01,48,12
apache/hadoop,2020-08,2025-07,48,12
apache/httpd,2009-05,2014-04,48,12
apache/httpd,2009-11,2014-10,48,12
apache/httpd,2010-05,2015-04,48,12
apache/httpd,2010-11,2015-10,48,12
apache/httpd,2011-05,2016-04,48,12
apache/httpd,2011-11,2016-10,48,12
apache/httpd,2012-05,2017-04,48,12
apache/httpd,2012-11,2017-10,48,12
apache/httpd,2013-05,2018-04,48,12
apache/httpd,2013-11,2018-10,48,12
apache/httpd,2014-05,2019-04,48,12
apache/httpd,2014-11,2019-10,48,12
apache/httpd,2015-05,2020-04,48,12
apache/httpd,2015-11,2020-10,48,12
apache/httpd,2016-05,2021-04,48,12
apache/httpd,2016-11,2021-10,48,12
apache/httpd,2017-05,2022-04,48,12
apache/httpd,2017-11,2022-10,48,12
apache/httpd,2018-05,2023-04,48,12
apache/httpd,2018-11,2023-10,48,12
apache/httpd,2019-05,2024-04,48,12
apache/httpd,2019-11,2024-10,48,12
apache/httpd,2020-05,2025-04,48,12
apache/httpd,2020-11,2025-10,48,12
apache/hudi,2016-12,2021-11,48,12
apache/hudi,2017-06,2022-05,48,12
apache/hudi,2017-12,2022-11,48,12
apache/hudi,2018-06,2023-05,48,12
apache/hudi,2018-12,2023-11,48,12
apache/hudi,2019-06,2024-05,48,12
apache/hudi,2019-12,2024-11,48,12
apache/hudi,2020-06,2025-05,48,12
apache/hudi,2020-12,2025-11,48,12
apache/iceberg,2018-11,2023-10,48,12
apache/iceberg,2019-05,2024-04,48,12
apache/iceberg,2019-11,2024-10,48,12
apache/iceberg,2020-05,2025-04,48,12
apache/iceberg,2020-11,2025-10,48,12
apache/iotdb,2018-11,2023-10,48,12
apache/iotdb,2019-05,2024-04,48,12
apache/iotdb,2019-11,2024-10,48,12
apache/iotdb,2020-05,2025-04,48,12
apache/iotdb,2020-11,2025-10,48,12
apache/kafka,2011-08,2016-07,48,12
apache/kafka,2012-02,2017-01,48,12
apache/kafka,2012-08,2017-07,48,12
apache/kafka,2013-02,2018-01,48,12
apache/kafka,2013-08,2018-07,48,12
apache/kafka,2014-02,2019-01,48,12
apache/kafka,2014-08,2019-07,48,12
apache/kafka,2015-02,2020-01,48,12
apache/kafka,2015-08,2020-07,48,12
apache/kafka,2016-02,2021-01,48,12
apache/kafka,2016-08,2021-07,48,12
apache/kafka,2017-02,2022-01,48,12
apache/kafka,2017-08,2022-07,48,12
apache/kafka,2018-02,2023-01,48,12
apache/kafka,2018-08,2023-07,48,12
apache/kafka,2019-02,2024-01,48,12
apache/kafka,2019-08,2024-07,48,12
apache/kafka,2020-02,2025-01,48,12
apache/kafka,2020-08,2025-07,48,12
apache/nuttx,2019-12,2024-11,48,12
apache/nuttx,2020-06,2025-05,48,12
apache/nuttx,2020-12,2025-11,48,12
apache/ozone,2019-10,2024-09,48,12
apache/ozone,2020-04,2025-03,48,12
apache/ozone,2020-10,2025-09,48,12
apache/pinot,2014-05,2019-04,48,12
apache/pinot,2014-11,2019-10,48,12
apache/pinot,2015-05,2020-04,48,12
apache/pinot,2015-11,2020-10,48,12
apache/pinot,2016-05,2021-04,48,12
apache/pinot,2016-11,2021-10,48,12
apache/pinot,2017-05,2022-04,48,12
apache/pinot,2017-11,2022-10,48,12
apache/pinot,2018-05,2023-04,48,12
apache/pinot,2018-11,2023-10,48,12
apache/pinot,2019-05,2024-04,48,12
apache/pinot,2019-11,2024-10,48,12
apache/pinot,2020-05,2025-04,48,12
apache/pinot,2020-11,2025-10,48,12
apache/rocketmq,2016-11,2021-10,48,12
apache/rocketmq,2017-05,2022-04,48,12
apache/rocketmq,2017-11,2022-10,48,12
apache/rocketmq,2018-05,2023-04,48,12
apache/rocketmq,2018-11,2023-10,48,12
apache/rocketmq,2019-05,2024-04,48,12
apache/rocketmq,2019-11,2024-10,48,12
apache/rocketmq,2020-05,2025-04,48,12
apache/rocketmq,2020-11,2025-10,48,12
apache/seatunnel,2017-08,2022-07,48,12
apache/seatunnel,2018-02,2023-01,48,12
apache/seatunnel,2018-08,2023-07,48,12
apache/seatunnel,2019-02,2024-01,48,12
apache/seatunnel,2019-08,2024-07,48,12
apache/seatunnel,2020-02,2025-01,48,12
apache/seatunnel,2020-08,2025-07,48,12
apache/shardingsphere,2016-01,2020-12,48,12
apache/shardingsphere,2016-07,2021-06,48,12
apache/shardingsphere,2017-01,2021-12,48,12
apache/shardingsphere,2017-07,2022-06,48,12
apache/shardingsphere,2018-01,2022-12,48,12
apache/shardingsphere,2018-07,2023-06,48,12
apache/shardingsphere,2019-01,2023-12,48,12
apache/shardingsphere,2019-07,2024-06,48,12
apache/shardingsphere,2020-01,2024-12,48,12
apache/shardingsphere,2020-07,2025-06,48,12
apache/shardingsphere,2021-01,2025-12,48,12
apache/skywalking,2015-11,2020-10,48,12
apache/skywalking,2016-05,2021-04,48,12
apache/skywalking,2016-11,2021-10,48,12
apache/skywalking,2017-05,2022-04,48,12
apache/skywalking,2017-11,2022-10,48,12
apache/skywalking,2018-05,2023-04,48,12
apache/skywalking,2018-11,2023-10,48,12
apache/skywalking,2019-05,2024-04,48,12
apache/skywalking,2019-11,2024-10,48,12
apache/skywalking,2020-05,2025-04,48,12
apache/skywalking,2020-11,2025-10,48,12
apache/spark,2014-02,2019-01,48,12
apache/spark,2014-08,2019-07,48,12
apache/spark,2015-02,2020-01,48,12
apache/spark,2015-08,2020-07,48,12
apache/spark,2016-02,2021-01,48,12
apache/spark,2016-08,2021-07,48,12
apache/spark,2017-02,2022-01,48,12
apache/spark,2017-08,2022-07,48,12
apache/spark,2018-02,2023-01,48,12
apache/spark,2018-08,2023-07,48,12
apache/spark,2019-02,2024-01,48,12
apache/spark,2019-08,2024-07,48,12
apache/spark,2020-02,2025-01,48,12
apache/spark,2020-08,2025-07,48,12
apache/superset,2015-07,2020-06,48,12
apache/superset,2016-01,2020-12,48,12
apache/superset,2016-07,2021-06,48,12
apache/superset,2017-01,2021-12,48,12
apache/superset,2017-07,2022-06,48,12
apache/superset,2018-01,2022-12,48,12
apache/superset,2018-07,2023-06,48,12
apache/superset,2019-01,2023-12,48,12
apache/superset,2019-07,2024-06,48,12
apache/superset,2020-01,2024-12,48,12
apache/superset,2020-07,2025-06,48,12
apache/superset,2021-01,2025-12,48,12
appsmithorg/appsmith,2020-06,2025-05,48,12
appsmithorg/appsmith,2020-12,2025-11,48,12
ArduPilot/ardupilot,2013-01,2017-12,48,12
ArduPilot/ardupilot,2013-07,2018-06,48,12
ArduPilot/ardupilot,2014-01,2018-12,48,12
ArduPilot/ardupilot,2014-07,2019-06,48,12
ArduPilot/ardupilot,2015-01,2019-12,48,12
ArduPilot/ardupilot,2015-07,2020-06,48,12
ArduPilot/ardupilot,2016-01,2020-12,48,12
ArduPilot/ardupilot,2016-07,2021-06,48,12
ArduPilot/ardupilot,2017-01,2021-12,48,12
ArduPilot/ardupilot,2017-07,2022-06,48,12
ArduPilot/ardupilot,2018-01,2022-12,48,12
ArduPilot/ardupilot,2018-07,2023-06,48,12
ArduPilot/ardupilot,2019-01,2023-12,48,12
ArduPilot/ardupilot,2019-07,2024-06,48,12
ArduPilot/ardupilot,2020-01,2024-12,48,12
ArduPilot/ardupilot,2020-07,2025-06,48,12
ArduPilot/ardupilot,2021-01,2025-12,48,12
argoproj/argo-cd,2018-02,2023-01,48,12
argoproj/argo-cd,2018-08,2023-07,48,12
argoproj/argo-cd,2019-02,2024-01,48,12
argoproj/argo-cd,2019-08,2024-07,48,12
argoproj/argo-cd,2020-02,2025-01,48,12
argoproj/argo-cd,2020-08,2025-07,48,12
Automattic/jetpack,2013-12,2018-11,48,12
Automattic/jetpack,2014-06,2019-05,48,12
Automattic/jetpack,2014-12,2019-11,48,12
Automattic/jetpack,2015-06,2020-05,48,12
Automattic/jetpack,2015-12,2020-11,48,12
Automattic/jetpack,2016-06,2021-05,48,12
Automattic/jetpack,2016-12,2021-11,48,12
Automattic/jetpack,2017-06,2022-05,48,12
Automattic/jetpack,2017-12,2022-11,48,12
Automattic/jetpack,2018-06,2023-05,48,12
Automattic/jetpack,2018-12,2023-11,48,12
Automattic/jetpack,2019-06,2024-05,48,12
Automattic/jetpack,2019-12,2024-11,48,12
Automattic/jetpack,2020-06,2025-05,48,12
Automattic/jetpack,2020-12,2025-11,48,12
Automattic/woocommerce-payments,2019-03,2024-02,48,12
Automattic/woocommerce-payments,2019-09,2024-08,48,12
Automattic/woocommerce-payments,2020-03,2025-02,48,12
Automattic/woocommerce-payments,2020-09,2025-08,48,12
Automattic/wp-calypso,2015-11,2020-10,48,12
Automattic/wp-calypso,2016-05,2021-04,48,12
Automattic/wp-calypso,2016-11,2021-10,48,12
Automattic/wp-calypso,2017-05,2022-04,48,12
Automattic/wp-calypso,2017-11,2022-10,48,12
Automattic/wp-calypso,2018-05,2023-04,48,12
Automattic/wp-calypso,2018-11,2023-10,48,12
Automattic/wp-calypso,2019-05,2024-04,48,12
Automattic/wp-calypso,2019-11,2024-10,48,12
Automattic/wp-calypso,2020-05,2025-04,48,12
Automattic/wp-calypso,2020-11,2025-10,48,12
AvaloniaUI/Avalonia,2013-12,2018-11,48,12
AvaloniaUI/Avalonia,2014-06,2019-05,48,12
AvaloniaUI/Avalonia,2014-12,2019-11,48,12
AvaloniaUI/Avalonia,2015-06,2020-05,48,12
AvaloniaUI/Avalonia,2015-12,2020-11,48,12
AvaloniaUI/Avalonia,2016-06,2021-05,48,12
AvaloniaUI/Avalonia,2016-12,2021-11,48,12
AvaloniaUI/Avalonia,2017-06,2022-05,48,12
AvaloniaUI/Avalonia,2017-12,2022-11,48,12
AvaloniaUI/Avalonia,2018-06,2023-05,48,12
AvaloniaUI/Avalonia,2018-12,2023-11,48,12
AvaloniaUI/Avalonia,2019-06,2024-05,48,12
AvaloniaUI/Avalonia,2019-12,2024-11,48,12
AvaloniaUI/Avalonia,2020-06,2025-05,48,12
AvaloniaUI/Avalonia,2020-12,2025-11,48,12
aws/aws-cdk,2017-10,2022-09,48,12
aws/aws-cdk,2018-04,2023-03,48,12
aws/aws-cdk,2018-10,2023-09,48,12
aws/aws-cdk,2019-04,2024-03,48,12
aws/aws-cdk,2019-10,2024-09,48,12
aws/aws-cdk,2020-04,2025-03,48,12
aws/aws-cdk,2020-10,2025-09,48,12
aws/karpenter-provider-aws,2020-07,2025-06,48,12
aws/karpenter-provider-aws,2021-01,2025-12,48,12
Azure/AgentBaker,2020-02,2025-01,48,12
Azure/AgentBaker,2020-08,2025-07,48,12
Azure/azure-cli,2016-02,2021-01,48,12
Azure/azure-cli,2016-08,2021-07,48,12
Azure/azure-cli,2017-02,2022-01,48,12
Azure/azure-cli,2017-08,2022-07,48,12
Azure/azure-cli,2018-02,2023-01,48,12
Azure/azure-cli,2018-08,2023-07,48,12
Azure/azure-cli,2019-02,2024-01,48,12
Azure/azure-cli,2019-08,2024-07,48,12
Azure/azure-cli,2020-02,2025-01,48,12
Azure/azure-cli,2020-08,2025-07,48,12
Azure/azure-powershell,2014-09,2019-08,48,12
Azure/azure-powershell,2015-03,2020-02,48,12
Azure/azure-powershell,2015-09,2020-08,48,12
Azure/azure-powershell,2016-03,2021-02,48,12
Azure/azure-powershell,2016-09,2021-08,48,12
Azure/azure-powershell,2017-03,2022-02,48,12
Azure/azure-powershell,2017-09,2022-08,48,12
Azure/azure-powershell,2018-03,2023-02,48,12
Azure/azure-powershell,2018-09,2023-08,48,12
Azure/azure-powershell,2019-03,2024-02,48,12
Azure/azure-powershell,2019-09,2024-08,48,12
Azure/azure-powershell,2020-03,2025-02,48,12
Azure/azure-powershell,2020-09,2025-08,48,12
Azure/azure-rest-api-specs,2015-07,2020-06,48,12
Azure/azure-rest-api-specs,2016-01,2020-12,48,12
Azure/azure-rest-api-specs,2016-07,2021-06,48,12
Azure/azure-rest-api-specs,2017-01,2021-12,48,12
Azure/azure-rest-api-specs,2017-07,2022-06,48,12
Azure/azure-rest-api-specs,2018-01,2022-12,48,12
Azure/azure-rest-api-specs,2018-07,2023-06,48,12
Azure/azure-rest-api-specs,2019-01,2023-12,48,12
Azure/azure-rest-api-specs,2019-07,2024-06,48,12
Azure/azure-rest-api-specs,2020-01,2024-12,48,12
Azure/azure-rest-api-specs,2020-07,2025-06,48,12
Azure/azure-rest-api-specs,2021-01,2025-12,48,12
Azure/azure-sdk-for-java,2011-12,2016-11,48,12
Azure/azure-sdk-for-java,2012-06,2017-05,48,12
Azure/azure-sdk-for-java,2012-12,2017-11,48,12
Azure/azure-sdk-for-java,2013-06,2018-05,48,12
Azure/azure-sdk-for-java,2013-12,2018-11,48,12
Azure/azure-sdk-for-java,2014-06,2019-05,48,12
Azure/azure-sdk-for-java,2014-12,2019-11,48,12
Azure/azure-sdk-for-java,2015-06,2020-05,48,12
Azure/azure-sdk-for-java,2015-12,2020-11,48,12
Azure/azure-sdk-for-java,2016-06,2021-05,48,12
Azure/azure-sdk-for-java,2016-12,2021-11,48,12
Azure/azure-sdk-for-java,2017-06,2022-05,48,12
Azure/azure-sdk-for-java,2017-12,2022-11,48,12
Azure/azure-sdk-for-java,2018-06,2023-05,48,12
Azure/azure-sdk-for-java,2018-12,2023-11,48,12
Azure/azure-sdk-for-java,2019-06,2024-05,48,12
Azure/azure-sdk-for-java,2019-12,2024-11,48,12
Azure/azure-sdk-for-java,2020-06,2025-05,48,12
Azure/azure-sdk-for-java,2020-12,2025-11,48,12
Azure/azure-sdk-for-js,2017-10,2022-09,48,12
Azure/azure-sdk-for-js,2018-04,2023-03,48,12
Azure/azure-sdk-for-js,2018-10,2023-09,48,12
Azure/azure-sdk-for-js,2019-04,2024-03,48,12
Azure/azure-sdk-for-js,2019-10,2024-09,48,12
Azure/azure-sdk-for-js,2020-04,2025-03,48,12
Azure/azure-sdk-for-js,2020-10,2025-09,48,12
Azure/azure-sdk-for-net,2011-12,2016-11,48,12
Azure/azure-sdk-for-net,2012-06,2017-05,48,12
Azure/azure-sdk-for-net,2012-12,2017-11,48,12
Azure/azure-sdk-for-net,2013-06,2018-05,48,12
Azure/azure-sdk-for-net,2013-12,2018-11,48,12
Azure/azure-sdk-for-net,2014-06,2019-05,48,12
Azure/azure-sdk-for-net,2014-12,2019-11,48,12
Azure/azure-sdk-for-net,2015-06,2020-05,48,12
Azure/azure-sdk-for-net,2015-12,2020-11,48,12
Azure/azure-sdk-for-net,2016-06,2021-05,48,12
Azure/azure-sdk-for-net,2016-12,2021-11,48,12
Azure/azure-sdk-for-net,2017-06,2022-05,48,12
Azure/azure-sdk-for-net,2017-12,2022-11,48,12
Azure/azure-sdk-for-net,2018-06,2023-05,48,12
Azure/azure-sdk-for-net,2018-12,2023-11,48,12
Azure/azure-sdk-for-net,2019-06,2024-05,48,12
Azure/azure-sdk-for-net,2019-12,2024-11,48,12
Azure/azure-sdk-for-net,2020-06,2025-05,48,12
Azure/azure-sdk-for-net,2020-12,2025-11,48,12
Azure/azure-sdk-for-python,2012-04,2017-03,48,12
Azure/azure-sdk-for-python,2012-10,2017-09,48,12
Azure/azure-sdk-for-python,2013-04,2018-03,48,12
Azure/azure-sdk-for-python,2013-10,2018-09,48,12
Azure/azure-sdk-for-python,2014-04,2019-03,48,12
Azure/azure-sdk-for-python,2014-10,2019-09,48,12
Azure/azure-sdk-for-python,2015-04,2020-03,48,12
Azure/azure-sdk-for-python,2015-10,2020-09,48,12
Azure/azure-sdk-for-python,2016-04,2021-03,48,12
Azure/azure-sdk-for-python,2016-10,2021-09,48,12
Azure/azure-sdk-for-python,2017-04,2022-03,48,12
Azure/azure-sdk-for-python,2017-10,2022-09,48,12
Azure/azure-sdk-for-python,2018-04,2023-03,48,12
Azure/azure-sdk-for-python,2018-10,2023-09,48,12
Azure/azure-sdk-for-python,2019-04,2024-03,48,12
Azure/azure-sdk-for-python,2019-10,2024-09,48,12
Azure/azure-sdk-for-python,2020-04,2025-03,48,12
Azure/azure-sdk-for-python,2020-10,2025-09,48,12
Azure/Azure-Sentinel,2018-08,2023-07,48,12
Azure/Azure-Sentinel,2019-02,2024-01,48,12
Azure/Azure-Sentinel,2019-08,2024-07,48,12
Azure/Azure-Sentinel,2020-02,2025-01,48,12
Azure/Azure-Sentinel,2020-08,2025-07,48,12
backstage/backstage,2020-01,2024-12,48,12
backstage/backstage,2020-07,2025-06,48,12
backstage/backstage,2021-01,2025-12,48,12
bcgov/entity,2018-11,2023-10,48,12
bcgov/entity,2019-05,2024-04,48,12
bcgov/entity,2019-11,2024-10,48,12
bcgov/entity,2020-05,2025-04,48,12
bcgov/entity,2020-11,2025-10,48,12
bevyengine/bevy,2020-01,2024-12,48,12
bevyengine/bevy,2020-07,2025-06,48,12
bevyengine/bevy,2021-01,2025-12,48,12
bioconda/bioconda-recipes,2015-09,2020-08,48,12
bioconda/bioconda-recipes,2016-03,2021-02,48,12
bioconda/bioconda-recipes,2016-09,2021-08,48,12
bioconda/bioconda-recipes,2017-03,2022-02,48,12
bioconda/bioconda-recipes,2017-09,2022-08,48,12
bioconda/bioconda-recipes,2018-03,2023-02,48,12
bioconda/bioconda-recipes,2018-09,2023-08,48,12
bioconda/bioconda-recipes,2019-03,2024-02,48,12
bioconda/bioconda-recipes,2019-09,2024-08,48,12
bioconda/bioconda-recipes,2020-03,2025-02,48,12
bioconda/bioconda-recipes,2020-09,2025-08,48,12
bitcoin/bitcoin,2010-12,2015-11,48,12
bitcoin/bitcoin,2011-06,2016-05,48,12
bitcoin/bitcoin,2011-12,2016-11,48,12
bitcoin/bitcoin,2012-06,2017-05,48,12
bitcoin/bitcoin,2012-12,2017-11,48,12
bitcoin/bitcoin,2013-06,2018-05,48,12
bitcoin/bitcoin,2013-12,2018-11,48,12
bitcoin/bitcoin,2014-06,2019-05,48,12
bitcoin/bitcoin,2014-12,2019-11,48,12
bitcoin/bitcoin,2015-06,2020-05,48,12
bitcoin/bitcoin,2015-12,2020-11,48,12
bitcoin/bitcoin,2016-06,2021-05,48,12
bitcoin/bitcoin,2016-12,2021-11,48,12
bitcoin/bitcoin,2017-06,2022-05,48,12
bitcoin/bitcoin,2017-12,2022-11,48,12
bitcoin/bitcoin,2018-06,2023-05,48,12
bitcoin/bitcoin,2018-12,2023-11,48,12
bitcoin/bitcoin,2019-06,2024-05,48,12
bitcoin/bitcoin,2019-12,2024-11,48,12
bitcoin/bitcoin,2020-06,2025-05,48,12
bitcoin/bitcoin,2020-12,2025-11,48,12
BitGo/BitGoJS,2014-05,2019-04,48,12
BitGo/BitGoJS,2014-11,2019-10,48,12
BitGo/BitGoJS,2015-05,2020-04,48,12
BitGo/BitGoJS,2015-11,2020-10,48,12
BitGo/BitGoJS,2016-05,2021-04,48,12
BitGo/BitGoJS,2016-11,2021-10,48,12
BitGo/BitGoJS,2017-05,2022-04,48,12
